TweetID,AuthorID,AuthorName,InReplyToUserID,InReplyToUsername,ReferencedTweetID,ReferencedTweetType,MentionsUsername,MentionsID,Verified
'1596302976976621575,'1530216299430830083,fl6stringer,'759251,CNN,'1596261945686036482,replied_to,CNN,'759251,False
'1596302953992040448,'1581691423044378626,Lovemyfurbabeez,'179271370,akrazia,'1596264011892281345,replied_to,akrazia,'179271370,False
'1596302953992040448,'1581691423044378626,Lovemyfurbabeez,'179271370,akrazia,'1596264011892281345,replied_to,CNN,'759251,False
'1596302952993546242,'329800098,HuntersLaptop80,'864134081134575616,0xdemosthenes,'1596229568377257984,replied_to,0xdemosthenes,'864134081134575616,False
'1596302952993546242,'329800098,HuntersLaptop80,'864134081134575616,0xdemosthenes,'1596229568377257984,replied_to,CNN,'759251,False
'1596302951856762880,'1394421569305387013,in_kathie,'1075121162743676928,H_MitchellPhoto,'1593328423803527168,replied_to,H_MitchellPhoto,'1075121162743676928,False
'1596302951856762880,'1394421569305387013,in_kathie,'1075121162743676928,H_MitchellPhoto,'1593328423803527168,replied_to,RonDeSantisFL,'487297085,False
'1596302951856762880,'1394421569305387013,in_kathie,'1075121162743676928,H_MitchellPhoto,'1593328423803527168,replied_to,CNN,'759251,False
'1596302951068618752,'1178030573522243584,Juanitajrlusm,'759251,CNN,'1596077875135803394,replied_to,CNN,'759251,False
'1596302937596497921,'1457959250869690372,RogueStealthed,'759251,CNN,'1595333883800784901,replied_to,CNN,'759251,False
'1596302930617176064,'1574582268621897738,lil_nili,'65437231,HumanBiotics,'1596260879968112640,replied_to,HumanBiotics,'65437231,False
'1596302930617176064,'1574582268621897738,lil_nili,'65437231,HumanBiotics,'1596260879968112640,replied_to,CNN,'759251,False
'1596302928956256256,'1653206863,JF5679,'759251,CNN,'1596187818853687296,replied_to,CNN,'759251,False
'1596302920747974657,'1577825344505126913,helpiran16,'948334297857052672,lousimay,'1596097974064803843,replied_to,lousimay,'948334297857052672,False
'1596302920747974657,'1577825344505126913,helpiran16,'948334297857052672,lousimay,'1596097974064803843,replied_to,1Herculepoirot,'1525398981119029250,False
'1596302920747974657,'1577825344505126913,helpiran16,'948334297857052672,lousimay,'1596097974064803843,replied_to,CNN,'759251,False
'1596302920747974657,'1577825344505126913,helpiran16,'948334297857052672,lousimay,'1596097974064803843,replied_to,FoxNews,'1367531,False
'1596302920747974657,'1577825344505126913,helpiran16,'948334297857052672,lousimay,'1596097974064803843,replied_to,BBC,'19701628,False
'1596302920747974657,'1577825344505126913,helpiran16,'948334297857052672,lousimay,'1596097974064803843,replied_to,nytimes,'807095,False
'1596302920747974657,'1577825344505126913,helpiran16,'948334297857052672,lousimay,'1596097974064803843,replied_to,washingtonpost,'2467791,False
'1596302920747974657,'1577825344505126913,helpiran16,'948334297857052672,lousimay,'1596097974064803843,replied_to,WSJ,'3108351,False
'1596302920747974657,'1577825344505126913,helpiran16,'948334297857052672,lousimay,'1596097974064803843,replied_to,Europarl_EN,'36329597,False
'1596302920747974657,'1577825344505126913,helpiran16,'948334297857052672,lousimay,'1596097974064803843,replied_to,EUCouncil,'206717989,False
'1596302920747974657,'1577825344505126913,helpiran16,'948334297857052672,lousimay,'1596097974064803843,replied_to,euronews,'25067168,False
'1596302920747974657,'1577825344505126913,helpiran16,'948334297857052672,lousimay,'1596097974064803843,replied_to,CTVToronto,'17659340,False
'1596302920747974657,'1577825344505126913,helpiran16,'948334297857052672,lousimay,'1596097974064803843,replied_to,CBC,'16034244,False
'1596302920747974657,'1577825344505126913,helpiran16,'948334297857052672,lousimay,'1596097974064803843,replied_to,CTV,'132240374,False
'1596302920747974657,'1577825344505126913,helpiran16,'948334297857052672,lousimay,'1596097974064803843,replied_to,TheTorontoSun,'24700876,False
'1596302920747974657,'1577825344505126913,helpiran16,'948334297857052672,lousimay,'1596097974064803843,replied_to,TorontoStar,'12848262,False
'1596302920747974657,'1577825344505126913,helpiran16,'948334297857052672,lousimay,'1596097974064803843,replied_to,Reuters,'1652541,False
'1596302920747974657,'1577825344505126913,helpiran16,'948334297857052672,lousimay,'1596097974064803843,replied_to,guardian,'87818409,False
'1596302920747974657,'1577825344505126913,helpiran16,'948334297857052672,lousimay,'1596097974064803843,replied_to,TIME,'14293310,False
'1596302920747974657,'1577825344505126913,helpiran16,'948334297857052672,lousimay,'1596097974064803843,replied_to,ABCWorldNews,'86141342,False
'1596302920747974657,'1577825344505126913,helpiran16,'948334297857052672,lousimay,'1596097974064803843,replied_to,SkyNews,'7587032,False
'1596302920747974657,'1577825344505126913,helpiran16,'948334297857052672,lousimay,'1596097974064803843,replied_to,POTUS,'1349149096909668363,False
'1596302920747974657,'1577825344505126913,helpiran16,'948334297857052672,lousimay,'1596097974064803843,replied_to,USEnvoyIran,'1362425776071577601,False
'1596302920747974657,'1577825344505126913,helpiran16,'948334297857052672,lousimay,'1596097974064803843,replied_to,VP,'803694179079458816,False
'1596302920747974657,'1577825344505126913,helpiran16,'948334297857052672,lousimay,'1596097974064803843,replied_to,SecBlinken,'1350150750966603777,False
'1596302920747974657,'1577825344505126913,helpiran16,'948334297857052672,lousimay,'1596097974064803843,replied_to,jakejsullivan,'2996337411,False
'1596302920747974657,'1577825344505126913,helpiran16,'948334297857052672,lousimay,'1596097974064803843,replied_to,JustinTrudeau,'14260960,False
'1596302920747974657,'1577825344505126913,helpiran16,'948334297857052672,lousimay,'1596097974064803843,replied_to,MelissaLantsman,'210149871,False
'1596302920747974657,'1577825344505126913,helpiran16,'948334297857052672,lousimay,'1596097974064803843,replied_to,emilykschrader,'477934944,False
'1596302915806801920,'1585847838369452034,TrevorBurnwort1,'759251,CNN,'1596261945686036482,replied_to,CNN,'759251,False
'1596302906755801088,'1596301053057814528,Lisa57986687,'759251,CNN,'1596300479444697091,replied_to,CNN,'759251,False
'1596302905338134528,'1586863970807332869,Brian07688686,'759251,CNN,'1596261945686036482,replied_to,CNN,'759251,False
'1596302890049863680,'1577825344505126913,helpiran16,'1351149044643602436,sama73473709,'1596098818873126912,replied_to,sama73473709,'1351149044643602436,False
'1596302890049863680,'1577825344505126913,helpiran16,'1351149044643602436,sama73473709,'1596098818873126912,replied_to,1Herculepoirot,'1525398981119029250,False
'1596302890049863680,'1577825344505126913,helpiran16,'1351149044643602436,sama73473709,'1596098818873126912,replied_to,CNN,'759251,False
'1596302890049863680,'1577825344505126913,helpiran16,'1351149044643602436,sama73473709,'1596098818873126912,replied_to,FoxNews,'1367531,False
'1596302890049863680,'1577825344505126913,helpiran16,'1351149044643602436,sama73473709,'1596098818873126912,replied_to,BBC,'19701628,False
'1596302890049863680,'1577825344505126913,helpiran16,'1351149044643602436,sama73473709,'1596098818873126912,replied_to,nytimes,'807095,False
'1596302890049863680,'1577825344505126913,helpiran16,'1351149044643602436,sama73473709,'1596098818873126912,replied_to,washingtonpost,'2467791,False
'1596302890049863680,'1577825344505126913,helpiran16,'1351149044643602436,sama73473709,'1596098818873126912,replied_to,WSJ,'3108351,False
'1596302890049863680,'1577825344505126913,helpiran16,'1351149044643602436,sama73473709,'1596098818873126912,replied_to,Europarl_EN,'36329597,False
'1596302890049863680,'1577825344505126913,helpiran16,'1351149044643602436,sama73473709,'1596098818873126912,replied_to,EUCouncil,'206717989,False
'1596302890049863680,'1577825344505126913,helpiran16,'1351149044643602436,sama73473709,'1596098818873126912,replied_to,euronews,'25067168,False
'1596302890049863680,'1577825344505126913,helpiran16,'1351149044643602436,sama73473709,'1596098818873126912,replied_to,CTVToronto,'17659340,False
'1596302890049863680,'1577825344505126913,helpiran16,'1351149044643602436,sama73473709,'1596098818873126912,replied_to,CBC,'16034244,False
'1596302890049863680,'1577825344505126913,helpiran16,'1351149044643602436,sama73473709,'1596098818873126912,replied_to,CTV,'132240374,False
'1596302890049863680,'1577825344505126913,helpiran16,'1351149044643602436,sama73473709,'1596098818873126912,replied_to,TheTorontoSun,'24700876,False
'1596302890049863680,'1577825344505126913,helpiran16,'1351149044643602436,sama73473709,'1596098818873126912,replied_to,TorontoStar,'12848262,False
'1596302890049863680,'1577825344505126913,helpiran16,'1351149044643602436,sama73473709,'1596098818873126912,replied_to,Reuters,'1652541,False
'1596302890049863680,'1577825344505126913,helpiran16,'1351149044643602436,sama73473709,'1596098818873126912,replied_to,guardian,'87818409,False
'1596302890049863680,'1577825344505126913,helpiran16,'1351149044643602436,sama73473709,'1596098818873126912,replied_to,TIME,'14293310,False
'1596302890049863680,'1577825344505126913,helpiran16,'1351149044643602436,sama73473709,'1596098818873126912,replied_to,ABCWorldNews,'86141342,False
'1596302890049863680,'1577825344505126913,helpiran16,'1351149044643602436,sama73473709,'1596098818873126912,replied_to,SkyNews,'7587032,False
'1596302890049863680,'1577825344505126913,helpiran16,'1351149044643602436,sama73473709,'1596098818873126912,replied_to,POTUS,'1349149096909668363,False
'1596302890049863680,'1577825344505126913,helpiran16,'1351149044643602436,sama73473709,'1596098818873126912,replied_to,USEnvoyIran,'1362425776071577601,False
'1596302890049863680,'1577825344505126913,helpiran16,'1351149044643602436,sama73473709,'1596098818873126912,replied_to,VP,'803694179079458816,False
'1596302890049863680,'1577825344505126913,helpiran16,'1351149044643602436,sama73473709,'1596098818873126912,replied_to,SecBlinken,'1350150750966603777,False
'1596302890049863680,'1577825344505126913,helpiran16,'1351149044643602436,sama73473709,'1596098818873126912,replied_to,jakejsullivan,'2996337411,False
'1596302890049863680,'1577825344505126913,helpiran16,'1351149044643602436,sama73473709,'1596098818873126912,replied_to,JustinTrudeau,'14260960,False
'1596302890049863680,'1577825344505126913,helpiran16,'1351149044643602436,sama73473709,'1596098818873126912,replied_to,MelissaLantsman,'210149871,False
'1596302890049863680,'1577825344505126913,helpiran16,'1351149044643602436,sama73473709,'1596098818873126912,replied_to,emilykschrader,'477934944,False
'1596302888028053507,'1530698360231010304,1draintheswamp,'759251,CNN,'1596225978463911937,replied_to,CNN,'759251,False
'1596302887109410817,'1308750063670308865,turboflat666,'759251,CNN,'1596261945686036482,replied_to,CNN,'759251,False
'1596302881774342144,'1590802754691219456,JaxJags187,'179746491,Gdub1970,'1596292589585678336,replied_to,Gdub1970,'179746491,False
'1596302881774342144,'1590802754691219456,JaxJags187,'179746491,Gdub1970,'1596292589585678336,replied_to,DBWilam,'1519175932875100162,False
'1596302881774342144,'1590802754691219456,JaxJags187,'179746491,Gdub1970,'1596292589585678336,replied_to,CNN,'759251,False
'1596302872966316033,'1422183277964808195,MelinaMoafi,'1422183277964808195,MelinaMoafi,'1596302803030392832,replied_to,UNHumanRights,'69231187,False
'1596302872966316033,'1422183277964808195,MelinaMoafi,'1422183277964808195,MelinaMoafi,'1596302803030392832,replied_to,UN_HRC,'70985635,False
'1596302872966316033,'1422183277964808195,MelinaMoafi,'1422183277964808195,MelinaMoafi,'1596302803030392832,replied_to,CNN,'759251,False
'1596302872966316033,'1422183277964808195,MelinaMoafi,'1422183277964808195,MelinaMoafi,'1596302803030392832,replied_to,ReutersIran,'47633485,False
'1596302872966316033,'1422183277964808195,MelinaMoafi,'1422183277964808195,MelinaMoafi,'1596302803030392832,replied_to,Europarl_EN,'36329597,False
'1596302872966316033,'1422183277964808195,MelinaMoafi,'1422183277964808195,MelinaMoafi,'1596302803030392832,replied_to,GermanyDiplo,'453030125,False
'1596302872966316033,'1422183277964808195,MelinaMoafi,'1422183277964808195,MelinaMoafi,'1596302803030392832,replied_to,USEnvoyIran,'1362425776071577601,False
'1596302872966316033,'1422183277964808195,MelinaMoafi,'1422183277964808195,MelinaMoafi,'1596302803030392832,replied_to,CanadianPM,'14713787,False
'1596302869329854464,'1527270151967625216,GoldenGears4,'759251,CNN,'1596251153737678855,replied_to,CNN,'759251,False
'1596302869329854464,'1527270151967625216,GoldenGears4,'759251,CNN,'1596251153737678855,replied_to,lisaling,'15730467,False
'1596302861268549632,'1543886839752364032,WiitalaJoshua,'2733576530,BNKNOTE,'1596233776702828544,replied_to,BNKNOTE,'2733576530,False
'1596302861268549632,'1543886839752364032,WiitalaJoshua,'2733576530,BNKNOTE,'1596233776702828544,replied_to,CNN,'759251,False
'1596302831044419584,'1581691423044378626,Lovemyfurbabeez,'159719978,lbie280,'1596297292625350656,replied_to,lbie280,'159719978,False
'1596302831044419584,'1581691423044378626,Lovemyfurbabeez,'159719978,lbie280,'1596297292625350656,replied_to,tannnnerr33,'2576088057,False
'1596302831044419584,'1581691423044378626,Lovemyfurbabeez,'159719978,lbie280,'1596297292625350656,replied_to,CNN,'759251,False
'1596302827798016001,'1577825344505126913,helpiran16,'1588501934457110528,vatanm_iran1,'1596127637038325760,replied_to,vatanm_iran1,'1588501934457110528,False
'1596302827798016001,'1577825344505126913,helpiran16,'1588501934457110528,vatanm_iran1,'1596127637038325760,replied_to,1Herculepoirot,'1525398981119029250,False
'1596302827798016001,'1577825344505126913,helpiran16,'1588501934457110528,vatanm_iran1,'1596127637038325760,replied_to,CNN,'759251,False
'1596302827798016001,'1577825344505126913,helpiran16,'1588501934457110528,vatanm_iran1,'1596127637038325760,replied_to,FoxNews,'1367531,False
'1596302827798016001,'1577825344505126913,helpiran16,'1588501934457110528,vatanm_iran1,'1596127637038325760,replied_to,BBC,'19701628,False
'1596302827798016001,'1577825344505126913,helpiran16,'1588501934457110528,vatanm_iran1,'1596127637038325760,replied_to,nytimes,'807095,False
'1596302827798016001,'1577825344505126913,helpiran16,'1588501934457110528,vatanm_iran1,'1596127637038325760,replied_to,washingtonpost,'2467791,False
'1596302827798016001,'1577825344505126913,helpiran16,'1588501934457110528,vatanm_iran1,'1596127637038325760,replied_to,WSJ,'3108351,False
'1596302827798016001,'1577825344505126913,helpiran16,'1588501934457110528,vatanm_iran1,'1596127637038325760,replied_to,Europarl_EN,'36329597,False
'1596302827798016001,'1577825344505126913,helpiran16,'1588501934457110528,vatanm_iran1,'1596127637038325760,replied_to,EUCouncil,'206717989,False
'1596302827798016001,'1577825344505126913,helpiran16,'1588501934457110528,vatanm_iran1,'1596127637038325760,replied_to,euronews,'25067168,False
'1596302827798016001,'1577825344505126913,helpiran16,'1588501934457110528,vatanm_iran1,'1596127637038325760,replied_to,CTVToronto,'17659340,False
'1596302827798016001,'1577825344505126913,helpiran16,'1588501934457110528,vatanm_iran1,'1596127637038325760,replied_to,CBC,'16034244,False
'1596302827798016001,'1577825344505126913,helpiran16,'1588501934457110528,vatanm_iran1,'1596127637038325760,replied_to,CTV,'132240374,False
'1596302827798016001,'1577825344505126913,helpiran16,'1588501934457110528,vatanm_iran1,'1596127637038325760,replied_to,TheTorontoSun,'24700876,False
'1596302827798016001,'1577825344505126913,helpiran16,'1588501934457110528,vatanm_iran1,'1596127637038325760,replied_to,TorontoStar,'12848262,False
'1596302827798016001,'1577825344505126913,helpiran16,'1588501934457110528,vatanm_iran1,'1596127637038325760,replied_to,Reuters,'1652541,False
'1596302827798016001,'1577825344505126913,helpiran16,'1588501934457110528,vatanm_iran1,'1596127637038325760,replied_to,guardian,'87818409,False
'1596302827798016001,'1577825344505126913,helpiran16,'1588501934457110528,vatanm_iran1,'1596127637038325760,replied_to,TIME,'14293310,False
'1596302827798016001,'1577825344505126913,helpiran16,'1588501934457110528,vatanm_iran1,'1596127637038325760,replied_to,ABCWorldNews,'86141342,False
'1596302827798016001,'1577825344505126913,helpiran16,'1588501934457110528,vatanm_iran1,'1596127637038325760,replied_to,SkyNews,'7587032,False
'1596302827798016001,'1577825344505126913,helpiran16,'1588501934457110528,vatanm_iran1,'1596127637038325760,replied_to,POTUS,'1349149096909668363,False
'1596302827798016001,'1577825344505126913,helpiran16,'1588501934457110528,vatanm_iran1,'1596127637038325760,replied_to,USEnvoyIran,'1362425776071577601,False
'1596302827798016001,'1577825344505126913,helpiran16,'1588501934457110528,vatanm_iran1,'1596127637038325760,replied_to,VP,'803694179079458816,False
'1596302827798016001,'1577825344505126913,helpiran16,'1588501934457110528,vatanm_iran1,'1596127637038325760,replied_to,SecBlinken,'1350150750966603777,False
'1596302827798016001,'1577825344505126913,helpiran16,'1588501934457110528,vatanm_iran1,'1596127637038325760,replied_to,jakejsullivan,'2996337411,False
'1596302827798016001,'1577825344505126913,helpiran16,'1588501934457110528,vatanm_iran1,'1596127637038325760,replied_to,JustinTrudeau,'14260960,False
'1596302827798016001,'1577825344505126913,helpiran16,'1588501934457110528,vatanm_iran1,'1596127637038325760,replied_to,MelissaLantsman,'210149871,False
'1596302827798016001,'1577825344505126913,helpiran16,'1588501934457110528,vatanm_iran1,'1596127637038325760,replied_to,emilykschrader,'477934944,False
