TweetID,AuthorID,AuthorName,InReplyToUserID,InReplyToUsername,ReferencedTweetID,ReferencedTweetType,MentionsUsername,MentionsID,Verified
'1596300347298963456,'1450355117715304450,imGriffM,'1346205132590116864,dawnDzo,'1596161621902381056,replied_to,dawnDzo,'1346205132590116864,False
'1596300347298963456,'1450355117715304450,imGriffM,'1346205132590116864,dawnDzo,'1596161621902381056,replied_to,mugiwarano_lio,'1134742792167657472,False
'1596300347298963456,'1450355117715304450,imGriffM,'1346205132590116864,dawnDzo,'1596161621902381056,replied_to,Yanisinhoo7,'1318191212327817216,False
'1596300347298963456,'1450355117715304450,imGriffM,'1346205132590116864,dawnDzo,'1596161621902381056,replied_to,PedriIniesta,'875098553785470976,False
'1596300347298963456,'1450355117715304450,imGriffM,'1346205132590116864,dawnDzo,'1596161621902381056,replied_to,ThePopFoot,'1327588332713500674,False
'1596300347298963456,'1450355117715304450,imGriffM,'1346205132590116864,dawnDzo,'1596161621902381056,replied_to,Cristiano,'155659213,False
'1596300347298963456,'1450355117715304450,imGriffM,'1346205132590116864,dawnDzo,'1596161621902381056,replied_to,AntoGriezmann,'950341134,False
'1596300347298963456,'1450355117715304450,imGriffM,'1346205132590116864,dawnDzo,'1596161621902381056,replied_to,HKane,'240664869,False
'1596300347298963456,'1450355117715304450,imGriffM,'1346205132590116864,dawnDzo,'1596161621902381056,replied_to,Memphis,'279966754,False
'1596300347298963456,'1450355117715304450,imGriffM,'1346205132590116864,dawnDzo,'1596161621902381056,replied_to,neymarjr,'158487331,False
'1596300347298963456,'1450355117715304450,imGriffM,'1346205132590116864,dawnDzo,'1596161621902381056,replied_to,lewy_official,'2330223926,False
'1596300347298963456,'1450355117715304450,imGriffM,'1346205132590116864,dawnDzo,'1596161621902381056,replied_to,lnstantFoot,'2333988375,False
'1596300347298963456,'1450355117715304450,imGriffM,'1346205132590116864,dawnDzo,'1596161621902381056,replied_to,Footballogue,'603018371,False
'1596300347298963456,'1450355117715304450,imGriffM,'1346205132590116864,dawnDzo,'1596161621902381056,replied_to,Trivela_FR,'1098290944548499457,False
'1596300273491886083,'1434208479984689161,Snurfi_NFT,'1595682741378375680,BTSE88894742,'1596299021047320576,replied_to,BTSE88894742,'1595682741378375680,False
'1596300273491886083,'1434208479984689161,Snurfi_NFT,'1595682741378375680,BTSE88894742,'1596299021047320576,replied_to,binance,'877807935493033984,False
'1596300273491886083,'1434208479984689161,Snurfi_NFT,'1595682741378375680,BTSE88894742,'1596299021047320576,replied_to,Cristiano,'155659213,False
'1596300273491886083,'1434208479984689161,Snurfi_NFT,'1595682741378375680,BTSE88894742,'1596299021047320576,replied_to,cryptocasher_io,'997109204770017281,False
'1596300273491886083,'1434208479984689161,Snurfi_NFT,'1595682741378375680,BTSE88894742,'1596299021047320576,replied_to,TheChartRanger,'866656527251382277,False
'1596300273491886083,'1434208479984689161,Snurfi_NFT,'1595682741378375680,BTSE88894742,'1596299021047320576,replied_to,Crypto_Cypher_,'1545386241520197633,False
'1596300231968264199,'1286945961688944640,XBynathan,'1286945961688944640,XBynathan,'1596300228961107968,replied_to,binance,'877807935493033984,False
'1596300231968264199,'1286945961688944640,XBynathan,'1286945961688944640,XBynathan,'1596300228961107968,replied_to,Cristiano,'155659213,False
'1596300230546317314,'1286945961688944640,XBynathan,'1286945961688944640,XBynathan,'1596300227203432449,replied_to,binance,'877807935493033984,False
'1596300230546317314,'1286945961688944640,XBynathan,'1286945961688944640,XBynathan,'1596300227203432449,replied_to,Cristiano,'155659213,False
'1596300228961107968,'1286945961688944640,XBynathan,'1286945961688944640,XBynathan,'1596300227203432449,replied_to,binance,'877807935493033984,False
'1596300228961107968,'1286945961688944640,XBynathan,'1286945961688944640,XBynathan,'1596300227203432449,replied_to,Cristiano,'155659213,False
'1596300227203432449,'1286945961688944640,XBynathan,'877807935493033984,binance,'1596232339155476480,replied_to,binance,'877807935493033984,False
