TweetID,AuthorID,AuthorName,InReplyToUserID,InReplyToUsername,ReferencedTweetID,ReferencedTweetType,MentionsUsername,MentionsID,Verified
'1596304223146221568,'1506458739217506304,OptionsElite_,'1258952998459490304,John99440330,'1596290886937501696,replied_to,John99440330,'1258952998459490304,False
'1596304223146221568,'1506458739217506304,OptionsElite_,'1258952998459490304,John99440330,'1596290886937501696,replied_to,TiborMeyerDavid,'1586729688944283650,False
'1596304223146221568,'1506458739217506304,OptionsElite_,'1258952998459490304,John99440330,'1596290886937501696,replied_to,ExecuteOrder623,'1282475791666880513,False
'1596304223146221568,'1506458739217506304,OptionsElite_,'1258952998459490304,John99440330,'1596290886937501696,replied_to,216SuperBrowns,'1452458896086421516,False
'1596304223146221568,'1506458739217506304,OptionsElite_,'1258952998459490304,John99440330,'1596290886937501696,replied_to,lewoysmithjr,'3293182800,False
'1596304223146221568,'1506458739217506304,OptionsElite_,'1258952998459490304,John99440330,'1596290886937501696,replied_to,ChrisARay,'902704300882722816,False
'1596304223146221568,'1506458739217506304,OptionsElite_,'1258952998459490304,John99440330,'1596290886937501696,replied_to,nbaking44,'338051833,False
'1596304223146221568,'1506458739217506304,OptionsElite_,'1258952998459490304,John99440330,'1596290886937501696,replied_to,TophySai,'1445909870151028736,False
'1596304223146221568,'1506458739217506304,OptionsElite_,'1258952998459490304,John99440330,'1596290886937501696,replied_to,MythNix,'1147677023390724096,False
'1596304223146221568,'1506458739217506304,OptionsElite_,'1258952998459490304,John99440330,'1596290886937501696,replied_to,YUMadBro808,'2307882770,False
'1596304223146221568,'1506458739217506304,OptionsElite_,'1258952998459490304,John99440330,'1596290886937501696,replied_to,Benzene21,'138817931,False
'1596304223146221568,'1506458739217506304,OptionsElite_,'1258952998459490304,John99440330,'1596290886937501696,replied_to,RTBSports1,'1541636415389216768,False
'1596304223146221568,'1506458739217506304,OptionsElite_,'1258952998459490304,John99440330,'1596290886937501696,replied_to,AirJordans2323,'1396918921492586503,False
'1596304223146221568,'1506458739217506304,OptionsElite_,'1258952998459490304,John99440330,'1596290886937501696,replied_to,FunFactsnStats,'2153850409,False
'1596304223146221568,'1506458739217506304,OptionsElite_,'1258952998459490304,John99440330,'1596290886937501696,replied_to,twinkie_hunter,'1463378910750523398,False
