TweetID,AuthorID,AuthorName,InReplyToUserID,InReplyToUsername,ReferencedTweetID,ReferencedTweetType,MentionsUsername,MentionsID,Verified
'1596304133480337409,'1580850007900508162,juan_jessup,'2917059294,tina_michelle9,'1596177988835500032,replied_to,tina_michelle9,'2917059294,False
'1596304133480337409,'1580850007900508162,juan_jessup,'2917059294,tina_michelle9,'1596177988835500032,replied_to,RitchieTorres,'1247612029,False
'1596304133480337409,'1580850007900508162,juan_jessup,'2917059294,tina_michelle9,'1596177988835500032,replied_to,elonmusk,'44196397,False
'1596304132847058944,'1578700703245246464,2vusheri,'1594554585540366338,squeakersNFT,'1596298465122095105,replied_to,squeakersNFT,'1594554585540366338,False
'1596304132847058944,'1578700703245246464,2vusheri,'1594554585540366338,squeakersNFT,'1596298465122095105,replied_to,inuteams,'1585317913925410816,False
'1596304132847058944,'1578700703245246464,2vusheri,'1594554585540366338,squeakersNFT,'1596298465122095105,replied_to,elonmusk,'44196397,False
'1596304132813778945,'1585714751715258368,Ron51495622,'16106584,stillgray,'1596261112852680705,replied_to,stillgray,'16106584,False
'1596304132813778945,'1585714751715258368,Ron51495622,'16106584,stillgray,'1596261112852680705,replied_to,elonmusk,'44196397,False
'1596304132813778945,'1585714751715258368,Ron51495622,'16106584,stillgray,'1596261112852680705,replied_to,FBI,'17629860,False
'1596304132771647491,'2562247236,jkvasqu,'44196397,elonmusk,'1596072934665240576,replied_to,elonmusk,'44196397,False
'1596304132570501120,'1586377642357432323,KumUppins,'746884292689571840,ian_mckelvey,'1595609167666073601,replied_to,ian_mckelvey,'746884292689571840,False
'1596304132570501120,'1586377642357432323,KumUppins,'746884292689571840,ian_mckelvey,'1595609167666073601,replied_to,elonmusk,'44196397,False
'1596304132553547780,'1589260319318212609,BetsyMess,'34367582,TimRunsHisMouth,'1596269867862298625,replied_to,TimRunsHisMouth,'34367582,False
'1596304132553547780,'1589260319318212609,BetsyMess,'34367582,TimRunsHisMouth,'1596269867862298625,replied_to,elonmusk,'44196397,False
'1596304131727437824,'3091601203,4marciangeli,'1518747771712512001,Terry98858360,'1596092003926016001,replied_to,Terry98858360,'1518747771712512001,False
'1596304131727437824,'3091601203,4marciangeli,'1518747771712512001,Terry98858360,'1596092003926016001,replied_to,AfterlifeModels,'70764949,False
