TweetID,AuthorID,AuthorName,InReplyToUserID,InReplyToUsername,ReferencedTweetID,ReferencedTweetType,MentionsUsername,MentionsID,Verified
'1595204007609438208,'1590851055566442501,jrfield_007,'1389913567671975937,cb_doge,'1595200740208672768,replied_to,cb_doge,'1389913567671975937,False
'1595204007609438208,'1590851055566442501,jrfield_007,'1389913567671975937,cb_doge,'1595200740208672768,replied_to,elonmusk,'44196397,False
'1595204005143232512,'3215272775,nicolas_gaboury,'113237077,TheStupidLlamas,'1595203121080320001,replied_to,TheStupidLlamas,'113237077,False
'1595204005143232512,'3215272775,nicolas_gaboury,'113237077,TheStupidLlamas,'1595203121080320001,replied_to,MetanoiaFX,'1144557713382354945,False
'1595204005143232512,'3215272775,nicolas_gaboury,'113237077,TheStupidLlamas,'1595203121080320001,replied_to,Larry_C_Fitz,'840034046822473729,False
'1595204005143232512,'3215272775,nicolas_gaboury,'113237077,TheStupidLlamas,'1595203121080320001,replied_to,elonmusk,'44196397,False
'1595204005143232512,'3215272775,nicolas_gaboury,'113237077,TheStupidLlamas,'1595203121080320001,replied_to,unusual_whales,'1200616796295847936,False
'1595204001695498240,'1175689305441878019,MaiaFora,'1494151046662443011,lurkerfrom_,'1595195880424243200,replied_to,lurkerfrom_,'1494151046662443011,False
'1595204001695498240,'1175689305441878019,MaiaFora,'1494151046662443011,lurkerfrom_,'1595195880424243200,replied_to,rodolfovaliati,'154554749,False
'1595204001695498240,'1175689305441878019,MaiaFora,'1494151046662443011,lurkerfrom_,'1595195880424243200,replied_to,elonmusk,'44196397,False
'1595204001695498240,'1175689305441878019,MaiaFora,'1494151046662443011,lurkerfrom_,'1595195880424243200,replied_to,realpfigueiredo,'790707482515628033,False
'1595204001695498240,'1175689305441878019,MaiaFora,'1494151046662443011,lurkerfrom_,'1595195880424243200,replied_to,rmotta2,'33071040,False
'1595204001624039424,'1533936256077271040,theo_burkow,'44196397,elonmusk,'1594757734267764774,replied_to,elonmusk,'44196397,False
'1595204001099915265,'789233452931514368,girlblogger171,'44196397,elonmusk,'1594962397114023937,replied_to,elonmusk,'44196397,False
'1595203999258624000,'1106225384486567936,Travis8510,'391311108,damienslash,'1595156524787437568,replied_to,damienslash,'391311108,False
'1595203999258624000,'1106225384486567936,Travis8510,'391311108,damienslash,'1595156524787437568,replied_to,elonmusk,'44196397,False
'1595203997677273090,'870037656188702720,Artorius519,'44196397,elonmusk,'1595114334547365888,replied_to,elonmusk,'44196397,False
