TweetID,AuthorID,AuthorName,InReplyToUserID,InReplyToUsername,ReferencedTweetID,ReferencedTweetType,MentionsUsername,MentionsID,Verified
'1594567519746097153,'1585532248694358016,hermantelly11,'1585985766210957312,rodriguezso19,'1594567516466053123,replied_to,rodriguezso19,'1585985766210957312,False
'1594567519746097153,'1585532248694358016,hermantelly11,'1585985766210957312,rodriguezso19,'1594567516466053123,replied_to,brle28117,'37918027,False
'1594567519746097153,'1585532248694358016,hermantelly11,'1585985766210957312,rodriguezso19,'1594567516466053123,replied_to,resrid420,'1571880178808233984,False
'1594567519746097153,'1585532248694358016,hermantelly11,'1585985766210957312,rodriguezso19,'1594567516466053123,replied_to,MattWallace888,'805532293951606785,False
'1594567519729291264,'4191090033,DinkarReddy,'15063972,jmh_d,'1594126722323996672,replied_to,jmh_d,'15063972,False
'1594567519729291264,'4191090033,DinkarReddy,'15063972,jmh_d,'1594126722323996672,replied_to,ChesterRedding,'1455714011639685121,False
'1594567519729291264,'4191090033,DinkarReddy,'15063972,jmh_d,'1594126722323996672,replied_to,DarrethMiller,'1283073344183640065,False
'1594567519729291264,'4191090033,DinkarReddy,'15063972,jmh_d,'1594126722323996672,replied_to,Eric_Schmitt,'101852818,False
'1594567519670480896,'259097948,money_sacs,'177196189,pokerspudda,'1594565068393701377,replied_to,pokerspudda,'177196189,False
'1594567519670480896,'259097948,money_sacs,'177196189,pokerspudda,'1594565068393701377,replied_to,AngelComrade,'1082156417874718720,False
'1594567519670480896,'259097948,money_sacs,'177196189,pokerspudda,'1594565068393701377,replied_to,BadWritingTakes,'1369074408388714500,False
'1594567519658213376,'420179072,thenewhadidgirl,'333138524,RashaCheRasdi,'1594519581091332097,replied_to,RashaCheRasdi,'333138524,False
'1594567519633018882,'1583362137132797952,juvanatub,'1408283886262489092,CryptoClash1,'1594384155571146752,replied_to,CryptoClash1,'1408283886262489092,False
'1594567519633018882,'1583362137132797952,juvanatub,'1408283886262489092,CryptoClash1,'1594384155571146752,replied_to,malgofinance,'1172015781040680960,False
'1594567519586684928,'1528620715167072256,HoneyonEarth888,'1217623061387710464,brr_729,'1594566871344648193,replied_to,brr_729,'1217623061387710464,False
'1594567519569731584,'1563285568645042182,PRSPhotography,'1011970623470489601,DWUhlfelderLaw,'1594495629169917953,replied_to,DWUhlfelderLaw,'1011970623470489601,False
'1594567519557537792,'1520210419356680192,praxz_,'1363765131172220933,HwanniePromotes,'1594563573963194368,replied_to,HwanniePromotes,'1363765131172220933,False
'1594567519553167362,'1317084371162173441,kIassic_kb,'1429048345830563844,NotToday_No_,'1594567198479364096,replied_to,NotToday_No_,'1429048345830563844,False
'1594567519532351488,'1586622901528428544,Foggy454545,'228535666,DanielAndrewsMP,'1594554923496378370,replied_to,DanielAndrewsMP,'228535666,False
'1594567519532097536,'888238039994048517,danielhvqeem,'308070730,iampoji,'1594566686220308481,replied_to,iampoji,'308070730,False
'1594567519469273088,'1429222055262752771,reidzer666,'1594400334381813760,Naturalmothersb,'1594436993102057473,replied_to,Naturalmothersb,'1594400334381813760,False
'1594567519460802560,'856634778476568576,Mjesse_17,'1173744255099166725,NFTsAreNice,'1594498437130686473,replied_to,NFTsAreNice,'1173744255099166725,False
'1594567519460802560,'856634778476568576,Mjesse_17,'1173744255099166725,NFTsAreNice,'1594498437130686473,replied_to,CopyPostoor,'974024982476021762,False
'1594567519460802560,'856634778476568576,Mjesse_17,'1173744255099166725,NFTsAreNice,'1594498437130686473,replied_to,wabdoteth,'1417876510413885444,False
'1594567519460802560,'856634778476568576,Mjesse_17,'1173744255099166725,NFTsAreNice,'1594498437130686473,replied_to,CryptoAnglio,'2729214382,False
'1594567519460802560,'856634778476568576,Mjesse_17,'1173744255099166725,NFTsAreNice,'1594498437130686473,replied_to,fxnction,'1414330132022452231,False
'1594567519460802560,'856634778476568576,Mjesse_17,'1173744255099166725,NFTsAreNice,'1594498437130686473,replied_to,vanessasierra00,'1251142884931203074,False
'1594567519460802560,'856634778476568576,Mjesse_17,'1173744255099166725,NFTsAreNice,'1594498437130686473,replied_to,EmmarkGadgets,'1367258422303993858,False
'1594567519460802560,'856634778476568576,Mjesse_17,'1173744255099166725,NFTsAreNice,'1594498437130686473,replied_to,franklinisbored,'1323747353308835840,False
'1594567519460802560,'856634778476568576,Mjesse_17,'1173744255099166725,NFTsAreNice,'1594498437130686473,replied_to,notthreadguy,'1426732252768182281,False
'1594567519448096769,'1604958750,DoctorSam7,'1367341767188766725,readteach77,'1594565810491723777,replied_to,readteach77,'1367341767188766725,False
'1594567519448096769,'1604958750,DoctorSam7,'1367341767188766725,readteach77,'1594565810491723777,replied_to,hannahk77811540,'739124020314935296,False
'1594567519448096769,'1604958750,DoctorSam7,'1367341767188766725,readteach77,'1594565810491723777,replied_to,HelenProulx2,'909094415620300800,False
