Twitter User Duration,Verified User,User Tweet Count,User Followers,Community
549,0,81081,3520,0
627,0,15191,1150,0
4060,0,62226,3296,0
448,0,20776,1349,0
4999,1,31323,113662424,0
250,0,9350,201,0
969,0,6929,244,0
186,0,25782,276,0
751,0,25695,3078,0
867,0,33478,5023,0
931,0,1799,170,0
1010,0,76257,2683,0
850,0,52587,263,0
1915,1,8674,26289,0
4787,1,23753,17521287,0
5111,1,746,92040242,0
3498,1,10705,42214821,0
4822,1,8734,5659025,0
4161,1,12923,47891510,0
3065,0,2809,162,0
748,0,88971,257,0
315,0,5145,276,0
5022,1,1245,22764680,0
492,0,5479,107,0
3040,0,25978,3758,0
639,0,649,24,0
9,0,10,0,1
237,0,573,84620,1
200,0,86,1302987,1
1922,1,5863,7958811,1
1306,1,401,2051428,1
4228,1,19200,4697048,1
3863,1,4618,5508024,1
4973,1,6337,26825414,1
865,0,1154,6,1
392,0,26357,111,1
346,0,129,100064,1
5747,1,8759,36607519,1
30,0,490,3,1
3496,0,2952,54,1
611,0,464,9,1
2118,0,2112,64,1
155,0,13,1,1
1991,1,23473,9976215,2
4556,1,3851,105597047,2
456,0,6132,197,2
1662,0,70,7142,2
2022,0,1343,850,2
149,0,100,42,2
3343,0,2744,112,2
78,0,2217,1086,2
1057,0,154,34,2
311,0,98,1,2
4635,0,14000,353,2
489,0,1711,111,2
4905,1,18204,10507687,2
780,0,85,56,2
2172,0,44603,168,2
891,0,3124,94,2
4402,1,19467,63994,2
1681,0,29130,298,2
2911,0,568,49,2
2017,0,12526,7278,2
4010,1,83719,1863030,2
132,0,867,4,2
3726,0,4289,169,2
511,0,15822,4638,2
392,0,25300,6716,2
2013,0,4829,69,3
4183,1,74687,276521,3
5766,1,15043,64892659,3
1423,0,1551,94,3
747,0,5487,350,3
4218,0,37081,1072,3
5471,1,56976,71716,3
2593,0,43420,2289,3
4905,0,3991,246,3
2639,0,53124,63020,3
1785,0,8346,684,3
242,0,6645,151,3
228,0,540,11,3
1993,0,4511,29,3
5056,0,3517,141,3
3152,0,37845,853,3
2988,1,31823,1062900,3
1739,0,9605,170,3
522,0,2056,31,3
455,0,5163,488,3
2017,0,9964,911934,3
5220,0,70117,8446,3
2858,0,100593,59365,3
3499,0,6084,1226,4
1475,0,60285,85445,4
4811,1,10657,107326328,4
5076,1,34910,84814620,4
5225,1,24419,76929554,4
5019,1,5491,66465158,4
4442,1,36781,30602,4
415,0,1906,10642,4
499,0,15834,86423,4
29,0,7263,232,4
1180,0,19828,4359,4
182,0,256,1084,4
3699,0,11127,7709,4
4486,0,2077,1769,4
83,0,335,158,4
334,0,4390,5111,4
465,0,5728,13272,4
3981,0,51290,10283,4
354,0,11,5244,4
4150,0,33376,11399,4
467,0,2865,1805,4
295,0,637,1856,4
447,0,18028,4899,4
412,0,13413,10734,4
5753,1,16711,133243470,5
1340,0,17975,181,5
822,0,67213,174,5
1043,1,4670,1194443,5
4746,0,222561,48780,5
1679,0,7138,45,5
3245,1,3035,1119325,5
5029,1,3804,35102,5
4913,0,5456,5311,5
464,0,61151,645,5
2377,1,5276,2113503,5
4059,1,5504,218101,5
2718,0,8931,11415,5
5046,1,16069,5904060,5
3498,1,3641,37225,5
5082,1,5617,10401,5
5380,1,38092,81128,5
4989,1,23437,12510432,5
3526,1,13827,31600299,5
2159,1,10382,587157,5
1191,0,1326,177,5
499,0,4570,740,5
5003,0,41804,2977,5
4433,0,143947,1038,5
3756,0,522,39,5
4042,1,2114,22177564,5
4070,1,9319,67968,5
780,0,1672,33,5
467,1,167,7975,5
586,0,128,1,5
1916,0,2372,22,5
4924,1,11630,11822884,5
4548,1,29975,9529824,5
99,0,5885,6,5
209,0,3,0,5
4986,0,19375,77685,5
242,0,610,5,5
212,0,800,23,5
2154,0,83125,17427,5
1790,0,27520,138,6
1242,0,60660,485,6
1362,0,10983,72,6
1470,0,84068,866,6
1683,0,3988,95,6
1464,0,120049,1888,6
1931,0,7978,67,6
923,0,20325,148,6
803,0,41730,830,6
1211,0,15014,309,6
1498,0,40205,812,6
496,0,3519,12,6
1078,0,111951,1498,6
1217,0,17829,713,6
877,0,1636,21,6
895,0,2457,35,6
811,0,27427,523,6
1560,0,57865,1136,6
491,0,34243,1759,6
246,0,162,6,6
1117,0,2472,21,6
2070,0,31580,399,6
867,0,68,2,6
1434,0,51656,435,6
1149,0,8676,42,6
505,0,160,37,6
1329,0,98116,5003,6
865,0,116,11,6
3178,1,14632,586925,6
1889,0,12697,253,6
421,0,928392,526317,6
5035,1,11789,108765622,7
100,0,2821,400,7
447,0,910,180,7
276,0,11155,797,7
663,0,13368,28740,7
4560,1,1877,10176939,7
315,0,4808,382,7
169,0,4029,1451,7
48,0,178,4,7
4422,0,16,0,7
1260,0,2353,14,7
888,0,1130,3,7
9,0,64,0,7
2594,0,493,332,7
109,0,1456,62,7
2552,0,91437,1187977,7
2238,0,15034,191,7
79,0,292,17,7
377,0,6488,157,7
3306,0,1367,29,7
177,0,789,18,7
3728,0,44278,7368,7
705,0,1552,342,7
65,0,63,109,7
90,0,67,50,7
563,0,1161,60,7
329,0,1131,27,7
2210,1,18705,156839,7
2648,0,78292,1898,7
4317,0,37193,1163,7
1467,0,66277,5606,7
1545,0,2159,39,7
1249,0,1328,43,7
953,0,10002,597,7
971,0,17272,409,7
369,0,5570,380,7
657,0,14399,72,7
546,0,1130,2149,7
597,0,4768,519,7
2455,0,5481,179,7
49,0,539,77,7
4053,0,5105,151,7
5048,0,5176,12,7
4532,0,49310,1458,7
206,0,409,0,7
14,0,1,0,7
936,0,1970,6,7
80,0,1191,135,7
90,0,2194,185,7
904,0,5453,4821,7
58,0,1787,420,7
449,0,1870,107,7
1690,0,7945,19480,7
631,0,2283,23,7
9,0,230,19,7
2722,0,4794,175,7
430,0,103,11,7
856,0,3738,1427,7
2474,0,55,15,7
5008,1,36123,74379234,8
4161,0,1562,89,8
154,0,7223,1040,8
789,0,16708,10074,8
4997,1,29836,4176614,8
4201,1,4204,2952353,8
5063,1,13655,43063181,8
2831,1,613,8456732,8
4996,1,42617,636088,8
5304,1,13184,19728308,8
2930,1,3283,20857343,8
3055,1,108,1479178,8
5091,1,19136,2188637,8
9,0,331,0,8
3205,1,5104,3399898,8
4975,1,17356,100911,8
4992,1,8282,31546684,8
4982,1,22,15685183,8
2764,0,8,322,8
3410,0,83636,2558,8
3847,1,323430,118451,8
5366,1,18498,6042982,8
2518,1,7111,167132,8
974,0,10387,109805,8
